

"Cable Connection Report"
"Save Time: 2013/08/26 09:34:40"
"User Name:admin"
""

"Total 605 Records"

"Name","Level/Capacity","Rate (bit/s)","Direction","Source NE","Source Port","Sink NE","Sink Port","Length (km)","Designed Attenuation(EOL)","Fiber/Cable Type","Medium Type","Creation Time","Creator","Maintainer","Remarks","Alarm Severity","Disabled Status","Alarm Generation Time"
f-4,STM-16,--,Two-Fiber Bidirectional,8041_YST-005-H,13-N3SL16-1(SDH-1),YST-005,6-S16-1(CDMA2010),1.0,0.0,Fiber,G.652,2013/01/11 00:53:41,admin,admin,-,Normal,Enable,-
f-1,10GE_WAN,--,Two-Fiber Bidirectional,8041_YST-005-H,12-N2PEX1-1(PORT-1),8042_RET-007_H,12-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/11 14:36:16,litianyi123,litianyi123,-,Normal,Enable,-
f-1,10GE_WAN,--,Two-Fiber Bidirectional,8041_YST-005-H,11-N2PEX1-1(PORT-1),8042_RET-007_H,11-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/11 15:09:50,litianyi123,litianyi123,-,Critical,Enable,2013/08/01 09:15:39
f-2,STM-16,--,Two-Fiber Bidirectional,8041_YST-005-H,5-N3SL16-1(SDH-1),8042_RET-007_H,13-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/12 02:36:51,litianyi123,litianyi123,-,Normal,Enable,-
f-1,STM-16,--,Two-Fiber Bidirectional,RET-007,9-S16-1(SDH-1),8042_RET-007_H,5-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/12 02:42:16,litianyi123,litianyi123,-,Normal,Enable,-
f-2,STM-16,--,Two-Fiber Bidirectional,RET-007,10-S16-1(SDH-1),8042_RET-007_H,14-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/12 02:42:54,litianyi123,litianyi123,-,Normal,Enable,-
f-1,STM-16,--,Two-Fiber Bidirectional,8042_RET-007_H,6-N3SL16-1(SDH-1),8043_KSN-021_H,13-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/13 00:09:30,admin,admin,-,Normal,Enable,-
f-2,STM-16,--,Two-Fiber Bidirectional,KSN-021,9-S16-1(SDH-1),8043_KSN-021_H,5-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/13 00:13:20,admin,admin,-,Normal,Enable,-
f-3,STM-16,--,Two-Fiber Bidirectional,KSN-021,10-S16-1(SDH-1),8043_KSN-021_H,14-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/13 00:13:44,admin,admin,-,Normal,Enable,-
f-7,STM-16,--,Two-Fiber Bidirectional,8043_KSN-021_H,6-N3SL16-1(SDH-1),8044_MKM-008_H,13-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/15 01:35:05,admin,admin,-,Normal,Enable,-
